collocate,raw_frequency,MI
fetch,1,5.501853557695486
here,3,3.566095780104191
silent,1,4.063887186031274
carried,1,4.55570986267165
news,1,5.237161003468404
arrival,1,5.387443206517742
pinning,1,8.998361119161967
brooch,1,6.695776026167921
how,2,2.9127234020367343
is,9,3.146158639387492
george,7,4.263416589427065
laughed,1,3.472908180030182
much,1,2.2554804833700635
confusion,1,5.191698629391647
pun,1,8.998361119161967
name,1,3.258568206982732
believe,2,3.8278771241238143
pompous,1,7.899748830493857
gallantry,1,7.899748830493857
speaking,1,4.373388305877695
herself,2,3.5260904454904916
ye,1,5.56437391467682
appen,1,7.899748830493857
shook,1,4.23618718436421
head,1,2.8693109091014213
oh,2,3.7592631122739006
lettie,3,3.9315555535986557
showed,1,4.487501612645116
striking,1,5.779485294293766
contrast,1,6.91891957748213
ease,1,5.237161003468404
beautiful,1,4.253428990798716
poetic,1,8.998361119161967
movement,1,5.237161003468404
exquisite,1,6.053922139995526
other,1,2.4108111043371703
upstairs,1,4.8087063771355405
marie,2,5.8848458099515915
tripping,1,7.206601649933911
state,1,3.898494691337768
excitement,1,5.009377072597692
see,2,2.639652676766018
enthusiastic,1,6.600465846363596
admiration,1,5.501853557695486
gentle,1,5.191698629391647
serious,1,4.6545556973082824
soul,1,4.316229892037747
went,3,3.365955307347993
sat,1,2.884678939329735
watching,2,5.096388449587321
play,1,4.423650140658584
four,1,4.170047381859665
hands,2,3.727928956103465
lap,1,5.472000594545805
two,1,2.380958141187489
moving,1,5.10654082105134
white,1,3.396242298282265
fascinating,1,6.600465846363596
pinch,1,7.612066758042076
matter,1,3.618463765621507
asked,1,2.3429207687943188
let,1,2.769850115570783
tired,3,5.575184830781036
er,2,6.195000738255431
three,1,3.2979175457712797
week,1,4.00792853238323
isn,1,3.910764783929582
your,11,4.120391791413804
keeps,1,6.107989361265801
reluctant,1,7.206601649933911
school,1,4.154174032703375
nottingham,1,6.359303789546708
shortly,1,5.56437391467682
afterwards,1,4.973009428426817
october,1,6.513454469373966
moved,1,4.344400769004443
london,1,3.2912508544130903
succeeding,1,7.206601649933911
election,1,7.899748830493857
found,1,2.8693109091014213
several,1,4.43401292769413
people,1,3.236309736381789
staying,2,6.91891957748213
under,1,2.9870939447578047
wing,1,5.953838681438543
literary,1,6.16514777510575
australian,1,6.290310918059756
merchant,1,6.695776026167921
visit,1,4.344400769004443
married,3,5.284789052457659
principal,1,5.862866903232817
landowner,1,8.998361119161967
lidford,1,4.29788075336955
martin,4,7.017359650295383
lister,4,6.72109383415221
walked,3,4.60803568167339
along,2,4.493011268456086
churchyard,1,5.56437391467682
path,1,4.973009428426817
gilbert,8,4.52102430468376
arm,1,3.7888749663205457
tug,1,8.305213938602021
introduce,1,6.433411761700429
soon,2,4.266558282240509
dreamy,1,6.513454469373966
idleness,1,6.91891957748213
answered,1,2.9944740520554274
sigh,1,5.028069205609844
for,9,2.7324263935744337
office,1,4.591641871897713
country,1,4.244770928055601
palmiest,1,8.998361119161967
days,2,4.018185032550419
father,6,4.26509093054656
career,1,5.56437391467682
fortunately,1,6.225772396922185
some,2,2.426778121792044
road,1,4.001148845397851
church,1,4.363632130932331
turned,2,3.913855976499255
lane,1,4.591641871897713
close,1,4.042534061560706
eleven,1,5.53262521636224
appearance,1,4.43401292769413
drawing,1,4.403241269027377
enjoying,1,5.82030728881402
comfortable,1,4.628913266694945
start,1,5.387443206517742
fenton,4,4.75703436659122
knelt,1,6.053922139995526
among,1,3.6704849503723853
household,1,5.33479947303232
make,1,2.731160570620604
evening,1,3.193226150245478
